gene,0um-16H,1um-16H,2um-16H,4um-16H,8um-16H
SPBC4F6.10,50,51,8,17,54
SPBC4F6.11c,5,4,2,2,4
SPBC18A7.01,143,159,44,67,165
SPBC530.04,417,476,123,249,431
SPBC557.05,110,124,49,83,201
SPBC365.20c,249,452,81,142,310
SPBC56F2.10c,265,254,63,161,323
SPBC577.11,557,555,197,283,540
SPBC577.14c,1795,1537,477,648,1483
SPBC106.20,670,743,227,347,758
